Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
"9/23/2019","Mark Sorenson Nusenda","ELECTRONIC DEPOSIT MARK SORENSON","90.14","credit","Transfer","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"9/22/2019","Smith's Food","SMITHS FOOD #4432 000004432 - WHITE ROCK, NM","238.86","debit","Groceries","Blue Cash Preferred","",""
"9/20/2019","PRIME VIDEO*884062XG3 - 888-802-3080, WA","PRIME VIDEO*884062XG3 - 888-802-3080, WA","4.19","debit","Movies & DVDs","Blue Cash Preferred - Supplementary account","",""
"9/19/2019","COPPER LOFTS -Assn Dues169 AC-COPPER LOFTS -Assn Dues16968921","AC-COPPER LOFTS    -Assn Dues169","297.60","debit","Copper Rental","Regular Checking","",""
"9/18/2019","Wal-Mart","WALMART.COM - 800-966-6546, AR","9.68","debit","Shopping","Blue Cash Preferred - Supplementary account","",""
"9/18/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","95.34","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/18/2019","MEMBERSHIP FEE SEP 19-AUG 20","MEMBERSHIP FEE SEP 19-AUG 20","0.00","credit","Service Fee","Costco Anywhere Visa® Card by Citi","",""
"9/17/2019","CITI AUTOPAY","CITI AUTOPAY","747.43","debit","Credit Card Payment","••••6452","",""
"9/17/2019","PENNYMAC","PENNYMAC","2031.45","debit","Mortgage & Rent","••••6452","",""
"9/17/2019","SoFi Money -TRANSFERMSor AC-SoFi Money -TRANSFERMSorenson","AC-SoFi Money      -TRANSFERMSor","1900.00","debit","Transfer","Regular Checking","",""
"9/16/2019","Enterprise Bank Trust","ENTERPRISE BANK & TRUST","1900.00","credit","Income","••••6452","",""
"9/16/2019","American Express","AMEX EPAYMENT","117.00","debit","Credit Card Payment","••••6452","",""
"9/16/2019","iTunes","ITUNES.COM/BILL - INTERNET CHARGE, CA","1.06","debit","Music","Blue Cash Preferred","",""
"9/16/2019","Your Cash Reward","YOUR CASH REWARD/REFUND IS","51.38","credit","Credit Card Payment","Blue Cash Preferred","",""
"9/15/2019","Autopay Rautopay Auto","AUTOPAY 000000000048334RAUTOPAY AUTO-PMT","747.43","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"9/13/2019","SOFI PAYMENTS","SOFI PAYMENTS","441.23","debit","Motorhome","••••6452","",""
"9/13/2019","T-Mobile","TMOBILE*AUTO PAY - 800-937-8997, WA","95.00","debit","Mobile Phone","Blue Cash Preferred","",""
"9/13/2019","AUTOPAY PAYMENT - THANK YOU","AUTOPAY PAYMENT - THANK YOU","117.00","credit","Credit Card Payment","Blue Cash Preferred","",""
"9/13/2019","Speedway","SPEEDWAY - 1-800-643-1949, OH","54.72","debit","Gas & Fuel","Blue Cash Preferred","",""
"9/13/2019","Amazon","AMAZON.COM*AK75D9SU3 AMZNAMZN.COM/BILLWA","13.79","debit","Shopping","Costco Anywhere Visa® Card by Citi","",""
"9/13/2019","8212 09/12 22:27 PP CKCD DEBIT 8212 09/12 22:27 PP*Illumine Bea ALBUQUERQU","CKCD DEBIT 8212 09/12 22:27   PP","93.01","debit","Hair","Regular Checking","","eye lash appointment"
"9/13/2019","Los Alamos Medic","AC-Los Alamos Medic-PR PAYMENT74","588.79","credit","Wife Income","Regular Checking","",""
"9/12/2019","Los Alamos Natio","LOS ALAMOS NATIO","2752.23","credit","Income","••••6452","",""
"9/12/2019","Petco","PETCO - ALBUQUERQUE, NM","108.32","debit","Pet Food & Supplies","Blue Cash Preferred - Supplementary account","",""
"9/12/2019","POJOAQUE DINO MART 000000000396857 - SANTA FE, NM","POJOAQUE DINO MART 000000000396857 - SANTA FE, NM","29.12","debit","Gas & Fuel","Blue Cash Preferred","",""
"9/12/2019","INTERVIEWCAKE.COM","INTERVIEWCAKE.COM","49.00","debit","Education","Quicksilver","",""
"9/12/2019","Costco","COSTCO WHSE #0667 ALBUQUERQUE NM","87.53","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"9/11/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","126.40","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/11/2019","Edo Spaces Prop","AC-EDO SPACES PROP -EDO SPACESSE","1104.76","credit","Copper Rental","Regular Checking","",""
"9/10/2019","Nusenda Credit U","Nusenda Credit U","375.00","debit","Investment Property","••••6452","",""
"9/09/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","37.55","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/06/2019","LOSALAMOS COUNTY-BILLPAYMNT5279756","AC-LOSALAMOS COUNTY-BILLPAYMNT52","608.80","debit","Bills & Utilities","Regular Checking","",""
"9/06/2019","8212 09/05 01:58 JM CKCD DEBIT 8212 09/05 01:58 JM MINISTRIES U 636-349030","CKCD DEBIT 8212 09/05 01:58   JM","1.00","debit","Charity","Regular Checking","",""
"9/05/2019","SUNTRUST","SUNTRUST","967.86","debit","Copper Rental","••••6452","",""
"9/05/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","34.95","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/05/2019","Rose Chocolatier LLC","SQ *ROSE CHOCOLATIE LOS ALAMOS NM","6.76","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"9/05/2019","8212 09/04 09:06 TS CKCD DEBIT 8212 09/04 09:06 TSI FORT WASHINGT PA","CKCD DEBIT 8212 09/04 09:06   TS","250.00","debit","Health & Fitness","Regular Checking","","This is for an old UNMH bill"
"9/04/2019","Smith's Food","SMITHS FOOD #4432 000004432 - WHITE ROCK, NM","26.65","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/04/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","10.97","debit","Groceries","Blue Cash Preferred - Supplementary account","",""
"9/04/2019","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","3.01","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"9/04/2019","Dunkin Donuts","CKCD DEBIT 8212 09/03 04:58   DD","6.61","debit","Coffee Shops","Regular Checking","",""
"9/04/2019","COVENANT EYES","COVENANT EYES","13.49","debit","Internet","Quicksilver","",""
"9/04/2019","Hulu","HLU*Hulu 289882202738-U","6.41","debit","Movies & DVDs","Quicksilver","",""
"9/03/2019","POJOAQUE KICKS 10171809 - SANTA FE, NM","POJOAQUE KICKS 10171809 - SANTA FE, NM","17.72","debit","Vacation","Blue Cash Preferred - Supplementary account","",""
"9/03/2019","8212 09/01 17:12 LO POS DEBIT 8212 09/01 17:12 LOS ALAMOS COOP LOS ALAMOS","POS DEBIT  8212 09/01 17:12   LO","44.76","debit","Groceries","Regular Checking","",""
"9/02/2019","HOTEL ALT HALIFAX","HOTEL ALT HALIFAX","18.24","debit","Hotel","Quicksilver","",""
"9/02/2019","A & W","A&W #6124","21.04","debit","Fast Food","Quicksilver","",""
"9/01/2019","Los Alamos Cooperative Market","LOS ALAMOS COOPERATIVE MARKET - LOS ALAMOS, NM","24.72","debit","Groceries","Blue Cash Preferred","",""
"8/31/2019","Interest earned","Interest earned","11.82","credit","Interest Income","••••6452","",""
"8/31/2019","MIKHAILSAVE - 4029357733, OR","PAYPAL *MIKHAILSAVE - 4029357733, OR","60.00","debit","Hobbies","Blue Cash Preferred","",""
"8/31/2019","Tim Horton's","TIM HORTONS #4745 - ENFIELD","1.75","debit","Coffee Shops","Blue Cash Preferred","",""
"8/31/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.04","debit","Service Fee","Blue Cash Preferred","",""
"8/31/2019","United Airlines","UNITED AIRLINES - HALIFAX","26.05","debit","Air Travel","Blue Cash Preferred","",""
"8/31/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.70","debit","Service Fee","Blue Cash Preferred","",""
"8/31/2019","Sobeys","SOBEYS 580        QPS","23.54","debit","Groceries","Quicksilver","",""
"8/31/2019","Chapters Indigo","INDIGOSPIRIT 731","15.85","debit","Books","Quicksilver","",""
"8/31/2019","MILLERS GOURMET KETTLE CO","MILLERS GOURMET KETTLE CO","4.52","debit","Restaurants","Quicksilver","",""
"8/31/2019","Chapters Indigo","CHAPTERS 914","39.60","debit","Books","Quicksilver","",""
"8/30/2019","Budget Rent","BUDGET RENT-A-CAR DORVAL CA","292.49","debit","Rental Car & Taxi","Costco Anywhere Visa® Card by Citi","",""
"8/30/2019","Irving","SILVER DART IRVING SILVER DART IRV - GOFFS","37.76","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/30/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","1.01","debit","Service Fee","Blue Cash Preferred","",""
"8/30/2019","A & W","A&W #6235 GARY MARTIN","25.53","debit","Fast Food","Quicksilver","",""
"8/30/2019","Comcast","COMCAST CABLE COMM","42.91","debit","Internet","Quicksilver","",""
"8/29/2019","Los Alamos Natio","LOS ALAMOS NATIO","2841.21","credit","Income","••••6452","",""
"8/29/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.12","debit","Service Fee","Blue Cash Preferred","",""
"8/29/2019","Chapters Indigo","INDIGO - HALIFAX CENTRAL LIBRA - HALIFAX","4.53","debit","Books","Blue Cash Preferred","",""
"8/29/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","1.07","debit","Service Fee","Blue Cash Preferred","",""
"8/29/2019","Chapters Indigo","CHAPTERS 793 - HALIFAX","64.86","debit","Books","Blue Cash Preferred","",""
"8/29/2019","COFFEE HUT - HALIFAX","COFFEE HUT - HALIFAX","4.68","debit","Coffee Shops","Blue Cash Preferred","",""
"8/29/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.15","debit","Service Fee","Blue Cash Preferred","",""
"8/29/2019","DAVE'S LOBSTER - Halifax","DAVE'S LOBSTER - Halifax","39.83","debit","Restaurants","Blue Cash Preferred","",""
"8/29/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","1.75","debit","Service Fee","Blue Cash Preferred","",""
"8/29/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.12","debit","Service Fee","Blue Cash Preferred","",""
"8/29/2019","Cows Halifax","COWS HALIFAX-ICE CREA - HALIFAX","5.66","debit","Clothing","Blue Cash Preferred","",""
"8/29/2019","8212 08/28 02:12 JM CKCD DEBIT 8212 08/28 02:12 JM MINISTRIES U 636-349030","CKCD DEBIT 8212 08/28 02:12   JM","1.00","debit","Charity","Regular Checking","",""
"8/28/2019","Farmers Insurance","FARMERS INS","74.95","debit","Auto Insurance","••••6452","",""
"8/28/2019","CAPITAL ONE","CAPITAL ONE","1872.19","debit","Mortgage & Rent","••••6452","",""
"8/28/2019","A & W","A&W #6235 GARY MARTIN","6.42","debit","Fast Food","Quicksilver","",""
"8/28/2019","JUSTICE FOR ALL INC","JUSTICE FOR ALL INC","25.00","debit","Charity","Quicksilver","",""
"8/27/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.67","debit","Service Fee","Blue Cash Preferred","",""
"8/27/2019","Sobeys","SOBEYS 580 QP - BEDFORD","39.69","debit","Groceries","Blue Cash Preferred","",""
"8/27/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","1.07","debit","Service Fee","Blue Cash Preferred","",""
"8/27/2019","NSLC","NSLC #2193 BEDFORD - BEDFORD","24.95","debit","Restaurants","Blue Cash Preferred","",""
"8/27/2019","CAPITAL ONE AUTOPAY payment AuthDate 11-Aug","CAPITAL ONE AUTOPAY PYMT AuthDate 11-A ug","1872.19","credit","Credit Card Payment","Quicksilver","",""
"8/27/2019","NSLC","NSLC #2193","20.37","debit","Alcohol & Bars","Quicksilver","",""
"8/26/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.92","debit","Service Fee","Blue Cash Preferred","",""
"8/26/2019","THE ESQUIRE RESTAURA - BEDFORD","THE ESQUIRE RESTAURA - BEDFORD","34.38","debit","Restaurants","Blue Cash Preferred","",""
"8/26/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.91","debit","Service Fee","Blue Cash Preferred","",""
"8/26/2019","Circle K","CIRCLE K / IRVING #2053 - TANTALLON","33.86","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/26/2019","Sobeys","SOBEYS 580        QPS","16.71","debit","Groceries","Quicksilver","",""
"8/26/2019","Los Alamos Fitness Center","LOS ALAMOS FITNE8002338483190823","90.14","debit","Personal Care","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"8/25/2019","PRIME VIDEO*MO82S3VU2 - 888-802-3080, WA","PRIME VIDEO*MO82S3VU2 - 888-802-3080, WA","4.19","debit","Movies & DVDs","Blue Cash Preferred","",""
"8/24/2019","PRIME VIDEO*MO1529VI2 - 888-802-3080, WA","PRIME VIDEO*MO1529VI2 - 888-802-3080, WA","4.19","debit","Movies & DVDs","Blue Cash Preferred","",""
"8/24/2019","FREECODECAMP.ORG - OKLAHOMA CITY, OK","FREECODECAMP.ORG - OKLAHOMA CITY, OK","5.00","debit","Fast Food","Blue Cash Preferred","",""
"8/24/2019","Sobeys","SOBEYS 580 QPS BEDFORD CA","110.97","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"8/24/2019","Sobeys","SOBEYS 580 QPS BEDFORD CA","13.39","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"8/24/2019","NSLC","NSLC #2193 BEDFORD CA","12.05","debit","Alcohol & Bars","Costco Anywhere Visa® Card by Citi","",""
"8/23/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","1.30","debit","Service Fee","Blue Cash Preferred","",""
"8/23/2019","THE ESQUIRE RESTAURA - BEDFORD","THE ESQUIRE RESTAURA - BEDFORD","48.26","debit","Restaurants","Blue Cash Preferred","",""
"8/23/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","10.00","debit","Air Travel","Blue Cash Preferred","",""
"8/23/2019","Mezza Lebanese Kitchen","MEZZA LEBANESE KITCHEN 110595247 - HALIFAX","21.68","debit","Restaurants","Blue Cash Preferred","",""
"8/23/2019","FOREIGN TRANSACTION FEE","FOREIGN TRANSACTION FEE","0.58","debit","Service Fee","Blue Cash Preferred","",""
"8/23/2019","A & W","A&W #6124 ENFIELD CA","11.32","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"8/22/2019","United Airlines","UNITED AIRLINES - ALBUQUERQUE, NM","30.00","debit","Air Travel","Blue Cash Preferred","",""
"8/22/2019","KEWA GAS 1 10172435 - SANTO DOMINGO PUEBLO, NM","KEWA GAS 1 10172435 - SANTO DOMINGO PUEBLO, NM","14.43","debit","Groceries","Blue Cash Preferred","",""
"8/22/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","10.00","debit","Air Travel","Blue Cash Preferred","",""
"8/22/2019","A & W","A&W #6124 ENFIELD CA","14.69","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"8/22/2019","8212 08/21 01:37 PP CKCD DEBIT 8212 08/21 01:37 PP*Illumine Bea ALBUQUERQU","CKCD DEBIT 8212 08/21 01:37   PP","89.51","debit","Fast Food","Regular Checking","",""
"8/22/2019","8212 08/21 10:28 LO CKCD DEBIT 8212 08/21 10:28 LOS CUATES 15 ALBUQUERQUE","CKCD DEBIT 8212 08/21 10:28   LO","20.94","debit","Restaurants","Regular Checking","",""
"8/21/2019","Nusenda Credit U","Nusenda Credit U","90.14","debit","Investment Property","••••6452","",""
"8/21/2019","DEPT EDUCATION","DEPT EDUCATION","349.90","debit","Student Loan","••••6452","",""
"8/21/2019","POJOAQUE KICKS 10171809 - SANTA FE, NM","POJOAQUE KICKS 10171809 - SANTA FE, NM","16.19","debit","Restaurants","Blue Cash Preferred","",""
"8/21/2019","Mark Sorenson Nusenda","ELECTRONIC DEPOSIT MARK SORENSON","90.14","credit","Transfer","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"8/21/2019","Ckcd Refnd Ha","CKCD REFND 8212 08/20 05:35   HA","7.88","credit","Income","Regular Checking","",""
"8/21/2019","Zazzle","CKCD DEBIT 8212 08/20 08:26   ZA","9.95","debit","Gift","Regular Checking","",""
"8/20/2019","8212 08/19 05:02 HA CKCD DEBIT 8212 08/19 05:02 HAUTLK RACK888 888-547-843","CKCD DEBIT 8212 08/19 05:02   HA","110.74","debit","Clothing","Regular Checking","",""
"8/19/2019","SOFI PAYMENTS","SOFI PAYMENTS","2014.20","debit","Motorhome","••••6452","",""
"8/19/2019","PENNYMAC","PENNYMAC","2041.92","debit","Mortgage & Rent","••••6452","",""
"8/19/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","151.19","debit","Groceries","Blue Cash Preferred","",""
"8/16/2019","CITI AUTOPAY","CITI AUTOPAY","421.47","debit","Credit Card Payment","••••6452","",""
"8/16/2019","SOFI PAYMENTS","SOFI PAYMENTS","533.76","debit","Motorhome","••••6452","",""
"8/16/2019","Los Alamos Medic","AC-Los Alamos Medic-PR PAYMENT74","839.39","credit","Wife Income","Regular Checking","",""
"8/15/2019","Los Alamos Natio","LOS ALAMOS NATIO","2907.13","credit","Income","••••6452","",""
"8/15/2019","SMITH S #5467 000000467 - LOS ALAMOS, NM","SMITH S #5467 000000467 - LOS ALAMOS, NM","60.87","debit","Restaurants","Blue Cash Preferred","",""
"8/15/2019","Autopay Rautopay Auto","AUTOPAY 000000000048334RAUTOPAY AUTO-PMT","421.47","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"8/14/2019","American Express","AMEX EPAYMENT","70.00","debit","Credit Card Payment","••••6452","",""
"8/14/2019","Amazon","AMZN MKTP US*MO7TP8LN2 - AMZN.COM/BILL, WA","20.49","debit","Shopping","Blue Cash Preferred","",""
"8/14/2019","Airbnb","AIRBNB * HMAFSBPJKN - SAN FRANCISCO, CA","640.52","debit","Hotel","Blue Cash Preferred","",""
"8/13/2019","SOFI PAYMENTS","SOFI PAYMENTS","441.23","debit","Motorhome","••••6452","",""
"8/13/2019","T-Mobile","TMOBILE*AUTO PAY - 800-937-8997, WA","95.00","debit","Mobile Phone","Blue Cash Preferred","",""
"8/13/2019","AUTOPAY PAYMENT - THANK YOU","AUTOPAY PAYMENT - THANK YOU","70.00","credit","Credit Card Payment","Blue Cash Preferred","",""
"8/12/2019","Nusenda Credit U","Nusenda Credit U","375.00","debit","Investment Property","••••6452","",""
"8/12/2019","VistaPrint","VISTAPR*VISTAPRINT.COM - 866-8936743, MA","19.56","debit","Printing","Blue Cash Preferred","",""
"8/12/2019","DMV","PMT*NM MOTOR VEHICLES 000000006 - SANTA FE, NM","58.44","debit","Auto & Transport","Blue Cash Preferred","",""
"8/12/2019","Los Alamos Cooperative Market","LOS ALAMOS COOPERATIVE MARKET - LOS ALAMOS, NM","31.88","debit","Groceries","Blue Cash Preferred","",""
"8/12/2019","payment*NM TRD CONV FEE 000000003 - SANTA FE, NM","PMT*NM TRD CONV FEE 000000003 - SANTA FE, NM","1.55","debit","Service Fee","Blue Cash Preferred","",""
"8/12/2019","VistaPrint","VISTAPR*VISTAPRINT.COM - 866-8936743, MA","39.46","debit","Printing","Blue Cash Preferred","",""
"8/12/2019","Etsy.com","CKCD DEBIT 8212 08/11 23:41   Et","115.37","debit","Gift","Regular Checking","",""
"8/11/2019","Los Alamos Cooperative Market","LOS ALAMOS COOPERATIVE MARKET - LOS ALAMOS, NM","22.98","debit","Groceries","Blue Cash Preferred","",""
"8/11/2019","Prime Video*MA0IC8HI0 888-802-3080 WA","Prime Video*MA0IC8HI0 888-802-3080 WA","4.19","debit","Movies & DVDs","Costco Anywhere Visa® Card by Citi","",""
"8/11/2019","Prime Video Wa","Prime Video 888-802-3080 WA","4.19","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"8/10/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","24.15","debit","Groceries","Blue Cash Preferred","",""
"8/10/2019","SMITHS FUEL # 9467 000009467 - LOS ALAMOS, NM","SMITHS FUEL # 9467 000009467 - LOS ALAMOS, NM","51.81","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/09/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","24.08","debit","Groceries","Blue Cash Preferred","",""
"8/09/2019","Amazon","AMZN Mktp US*MA9JC6S21 Amzn.com/billWA","19.96","debit","Shopping","Costco Anywhere Visa® Card by Citi","",""
"8/09/2019","PRIME VIDEO*MA9XF5550 - 888-802-3080, WA","PRIME VIDEO*MA9XF5550 - 888-802-3080, WA","10.50","debit","Movies & DVDs","Blue Cash Preferred","",""
"8/09/2019","COPPER LOFTS -Assn Dues166 AC-COPPER LOFTS -Assn Dues16678468","AC-COPPER LOFTS    -Assn Dues166","297.60","debit","Copper Rental","Regular Checking","",""
"8/09/2019","Edo Spaces Prop","AC-EDO SPACES PROP -EDO SPACESAU","1069.76","credit","Copper Rental","Regular Checking","",""
"8/08/2019","Amazon","AMZN MKTP US*MA69N98H0 - AMZN.COM/BILL, WA","37.78","debit","Shopping","Blue Cash Preferred","",""
"8/08/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","28.54","debit","Groceries","Blue Cash Preferred","",""
"8/08/2019","Amazon","AMAZON.COM*MA7DK2530 - AMZN.COM/BILL, WA","295.94","debit","Shopping","Blue Cash Preferred","",""
"8/07/2019","Target","TARGET.COM - 800-591-3869, MN","6.19","debit","Shopping","Blue Cash Preferred","",""
"8/07/2019","PARCHMENT - UNIV DOCS","PARCHMENT - UNIV DOCS","10.00","debit","Education","Quicksilver","",""
"8/07/2019","Chick-Fil-A","CKCD DEBIT 8212 08/05 01:40   CH","7.11","debit","Fast Food","Regular Checking","",""
"8/06/2019","8212 08/05 01:40 JM CKCD DEBIT 8212 08/05 01:40 JM MINISTRIES U 636-349030","CKCD DEBIT 8212 08/05 01:40   JM","100.00","debit","Charity","Regular Checking","",""
"8/06/2019","SoFi Money -TRANSFERMSor AC-SoFi Money -TRANSFERMSorenson","AC-SoFi Money      -TRANSFERMSor","2500.00","debit","Transfer","Regular Checking","",""
"8/06/2019","Check 161","Check","268.10","debit","Foster","Regular Checking","","CYFD overpayment"
"8/05/2019","TOTAVI TRAVEL CENTER - SANTA FE, NM","TOTAVI TRAVEL CENTER - SANTA FE, NM","21.03","debit","Auto & Transport","Blue Cash Preferred","",""
"8/05/2019","COVENANT EYES","COVENANT EYES","13.49","debit","Internet","Quicksilver","",""
"8/05/2019","Hulu","HLU*Hulu 289882209897-U","6.41","debit","Movies & DVDs","Quicksilver","",""
"8/05/2019","Target","TARGET.COM - 800-591-3869, MN","55.79","debit","Shopping","Blue Cash Preferred","",""
"8/05/2019","Target","TARGET.COM - 800-591-3869, MN","61.38","debit","Shopping","Blue Cash Preferred","",""
"8/05/2019","Target","TARGET.COM - 800-591-3869, MN","30.71","debit","Shopping","Blue Cash Preferred","",""
"8/05/2019","Target","TARGET.COM - 800-591-3869, MN","63.58","debit","Shopping","Blue Cash Preferred","",""
"8/04/2019","Wayfair","WAYFAIR*WAYFAIR - WAYFAIR.COM, MA","181.35","debit","Home Improvement","Blue Cash Preferred","","Fountain"
"8/03/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","102.47","debit","Groceries","Blue Cash Preferred","",""
"8/03/2019","Airbnb","AIRBNB * HMAFSBPJKN - SAN FRANCISCO, CA","640.52","debit","Hotel","Blue Cash Preferred","",""
"8/03/2019","Amazon","AMZN MKTP US*MA2J37612 - AMZN.COM/BILL, WA","118.91","debit","Shopping","Blue Cash Preferred","",""
"8/03/2019","FLEUR DE LYS 650000010094723 - LOS ALAMOS, NM","FLEUR DE LYS 650000010094723 - LOS ALAMOS, NM","18.75","debit","Restaurants","Blue Cash Preferred","",""
"8/02/2019","Costco","WWW COSTCO COM 800-955-2292 WA","126.15","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"8/02/2019","Budget Rent","BUDGET.COM DORVAL CA","365.89","debit","Rental Car & Taxi","Costco Anywhere Visa® Card by Citi","",""
"8/02/2019","SNAPTRAVEL *ALTHOTELH - SAN FRANCISCO, CA","SNAPTRAVEL *ALTHOTELH - SAN FRANCISCO, CA","173.67","debit","Hotel","Blue Cash Preferred","",""
"8/02/2019","SNAPTRAVEL *ALTHOTELH - SAN FRANCISCO, CA","SNAPTRAVEL *ALTHOTELH - SAN FRANCISCO, CA","172.02","debit","Hotel","Blue Cash Preferred","",""
"8/02/2019","MVD__ECKS -MVD PMNT2483 AC-MVD__ECKS -MVD PMNT248328192","AC-MVD__ECKS       -MVD PMNT2483","35.45","debit","Auto & Transport","Regular Checking","",""
"8/02/2019","Los Alamos Medic","AC-Los Alamos Medic-PR PAYMENT74","1246.83","credit","Wife Income","Regular Checking","",""
"8/01/2019","Your Cash Reward","YOUR CASH REWARD/REFUND IS","128.84","credit","Credit Card Payment","Blue Cash Preferred","",""
"8/01/2019","ROVER.COM PET CARE - SEATTLE, WA","ROVER.COM PET CARE - SEATTLE, WA","214.00","debit","Pet Food & Supplies","Blue Cash Preferred","",""
"8/01/2019","ASU GRADUATE ADM APL FEE","ASU GRADUATE ADM APL FEE","70.00","debit","Education","Quicksilver","",""
"7/31/2019","USPS","USPS PO 3451450544 001370963 - LOS ALAMOS, NM","22.00","debit","Shipping","Blue Cash Preferred","",""
"7/31/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","412.78","debit","Air Travel","Blue Cash Preferred","",""
"7/31/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","39.00","debit","Air Travel","Blue Cash Preferred","",""
"7/31/2019","SMITH'S GROCERY - LOS ALAMOS, NM","SMITH'S GROCERY - LOS ALAMOS, NM","11.98","debit","Groceries","Blue Cash Preferred","",""
"7/31/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","412.78","debit","Air Travel","Blue Cash Preferred","",""
"7/31/2019","United Airlines","UNITED AIRLINES - HOUSTON, TX","39.00","debit","Air Travel","Blue Cash Preferred","",""
"7/31/2019","MIKHAILSAVE - 4029357733, OR","PAYPAL *MIKHAILSAVE - 4029357733, OR","60.00","debit","Hobbies","Blue Cash Preferred","",""
"7/30/2019","Comcast","COMCAST CABLE COMM","42.91","debit","Internet","Quicksilver","",""
"7/30/2019","Do It Best","METZGERS DO IT BEST HARDW","87.40","debit","Home Improvement","Quicksilver","",""
"7/29/2019","Hobby Lobby","HOBBY LOBBY - SANTA FE, NM","46.51","debit","Hobbies","Blue Cash Preferred","",""
"7/29/2019","iTunes","ITUNES.COM/BILL - INTERNET CHARGE, CA","3.21","debit","Music","Blue Cash Preferred","",""
"7/29/2019","Sam's Club","SAM'S CLUB 6408 6408 - SANTA FE, NM","148.62","debit","Groceries","Blue Cash Preferred","",""
"7/29/2019","8212 07/26 04:50 HA CKCD DEBIT 8212 07/26 04:50 HAUTLK RACK888 888-547-843","CKCD DEBIT 8212 07/26 04:50   HA","136.60","debit","Clothing","Regular Checking","",""
"7/29/2019","WTHDRL CHK 8204 07/27 17:07 EN WTHDRL CHK 8204 07/27 17:07 ENTERPRISE BA 12 LOS ALAMO","WTHDRL CHK 8204 07/27 17:07   EN","500.00","debit","Food & Dining","Regular Checking","",""
